chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,limma,lymphomas,GC/FL,mp,excess_spectral_mass_delta,-434.929443709447,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,lymphomas,GC/FL,mp,largest_eigenvalue_fraction_delta,-0.3651239409268659,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,lymphomas,GC/FL,mp,participation_ratio_delta,4.573419290589538,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,lymphomas,GC/FL,mp,spectral_entropy_delta,0.9672034912680836,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,lymphomas,GC/LBCL,complexity,effrank_delta,0.10999999999999988,tumor_greater,permutation_available,0.91,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,lymphomas,GC/LBCL,complexity,kappa_delta,29.17,tumor_greater,permutation_available,0.91,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,lymphomas,GC/LBCL,entropy,shannon_delta,0.878,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,lymphomas,GC/LBCL,entropy,spectral_delta,0.121,tumor_greater,permutation_available,0.56,0.7280000000000001,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,lymphomas,GC/LBCL,mp,excess_spectral_mass_delta,-318.90736074356823,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,lymphomas,GC/LBCL,mp,largest_eigenvalue_fraction_delta,-0.37580589345544524,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
