chip,filter_regime,group,comparison,complexity__effrank_delta,complexity__kappa_delta,entropy__shannon_delta,entropy__spectral_delta,mp__excess_spectral_mass_delta,mp__largest_eigenvalue_fraction_delta,mp__participation_ratio_delta,mp__spectral_entropy_delta,latent__centroid_distance,latent__latent_eig_entropy_delta,latent__latent_pr_delta
hu35ksuba,variance_global,carcinomas,UT/EAC,0.26,16.8,0.738,0.203,-385.26473309261235,-0.30996182845258163,3.5017800828938372,0.7710327892715569,NA,NA,NA
hu35ksuba,variance_global,leukemias,PB/B-ALL,0.010000000000000009,37.09,1.006,0.004,-426.5348450141954,-0.309298512942816,3.9777059572361364,0.9313011198551144,NA,NA,NA
hu35ksuba,variance_global,leukemias,PB/T-ALL,-0.009999999999999787,29.62,1.005,-0.005,-306.30587536288454,-0.2636108278343209,3.2921406727617084,0.8757729492541968,NA,NA,NA
hu35ksuba,variance_global,lymphomas,GC/FL,0.47,12,0.88,0.428,-399.3381397393763,-0.2824106824312599,3.6591370121368767,0.8406973709045404,NA,NA,NA
hu35ksuba,variance_global,lymphomas,GC/LBCL,0.18999999999999995,10.7,0.878,0.187,-596.033399116825,-0.3353634548799114,4.679884462461504,0.9413695647734819,NA,NA,NA
hu6800,limma,blastomas,Brain/GBM,0.09000000000000008,-33.93,0.322,0.085,-19.529399551054723,-0.004718386687283693,1.3676495148084893,0.2613563291071537,NA,NA,NA
hu6800,limma,blastomas,Brain/MB,-0.020000000000000018,-49.11,0.322,-0.022,-43.72182422604661,-0.049294289771478705,1.797944377813332,0.3233283911138747,NA,NA,NA
hu6800,limma,carcinomas,BLAD/TCC,0.3999999999999999,-10.06,0.667,0.33,-16.347294041607327,-0.13112850356018935,2.4440703285214473,0.5265435941874452,NA,NA,NA
hu6800,limma,carcinomas,BR/BRAD,0.47,68.6,1.146,0.429,47.28646103516371,-0.13185918595802615,1.6826624860236055,0.7104682351950451,NA,NA,NA
hu6800,limma,carcinomas,COL/COADREAD,0.010000000000000009,-31.44,0.132,0.015,-5.874003363258865,-0.07225687511036416,1.2816973816464028,0.14607061558201706,NA,NA,NA
hu6800,limma,carcinomas,KID/RCC,-0.10999999999999988,-40.85,-0.416,-0.097,-19.280195717272417,-0.2986410240461856,3.1575725495298417,0.3263733156823616,NA,NA,NA
hu6800,limma,carcinomas,LU/LUAD,0.47,95.58,1.141,0.413,-4.0494548027205255,-0.2087892031139657,2.580467164669919,0.7665057050514807,NA,NA,NA
hu6800,limma,carcinomas,OV/OVAD,0.18999999999999995,76.34,1.329,0.189,NA,NA,NA,NA,NA,NA,NA
hu6800,limma,carcinomas,PA/PAAD,0.32000000000000006,-34.1,-0.006,0.296,150.20072961444757,0.3824096787615391,-4.22645638092912,-0.6013764943840014,NA,NA,NA
hu6800,limma,carcinomas,UT/EAC,0.050000000000000044,62.88,0.732,0.047,2.4858965608584143,-0.056425591101086636,1.8659181194119356,0.5074683390318457,NA,NA,NA
hu6800,limma,leukemias,PB/B-ALL,-0.21999999999999997,63,1.003,-0.232,-34.537434604421776,-0.12247247571977538,2.532154028407449,0.7067992983338127,NA,NA,NA
hu6800,limma,leukemias,PB/T-ALL,-0.24,30.39,0.846,-0.253,-71.73026925799428,-0.17533817682777392,2.643130965613876,0.6961418993794273,NA,NA,NA
hu6800,variance_comparison,blastomas,Brain/GBM,0.08999999999999986,-41.28,0.321,0.08,-132.0893486029579,-0.004806319909931744,1.3026471222669587,0.2720393523813449,NA,NA,NA
hu6800,variance_comparison,blastomas,Brain/MB,0.24,-35.23,0.322,0.204,-128.88806324756922,-0.020849080161408517,1.3367822197368309,0.2716001507106818,NA,NA,NA
hu6800,variance_comparison,carcinomas,BLAD/TCC,0.54,-20.46,0.659,0.435,31.390240909977024,-0.09175175694516302,1.8202958336582133,0.42261850869112605,NA,NA,NA
hu6800,variance_comparison,carcinomas,BR/BRAD,0.6399999999999999,45.39,1.145,0.562,88.92068138449872,-0.08268018818598655,1.3417632716454984,0.6433832066917133,NA,NA,NA
hu6800,variance_comparison,carcinomas,COL/COADREAD,0.020000000000000018,-13.13,0.136,0.015,-108.39640092494392,-0.0940381815298133,1.1747218181034373,0.22369446764693746,NA,NA,NA
hu6800,variance_comparison,carcinomas,KID/RCC,0.1299999999999999,-58.04,-0.415,0.119,-260.1766160467148,-0.05288652074861333,0.43594184732930596,-0.07131163119730322,NA,NA,NA
hu6800,variance_comparison,carcinomas,LU/LUAD,0.71,11.72,1.142,0.643,393.2861531855532,-0.021953146216297237,0.8722465414575353,0.5487769344418161,NA,NA,NA
hu6800,variance_comparison,carcinomas,OV/OVAD,0.47,62.71,1.326,0.444,NA,NA,NA,NA,NA,NA,NA
hu6800,variance_comparison,carcinomas,PA/PAAD,0.09000000000000008,-28.13,-0.005,0.08,381.74528654332767,0.2459014272514511,-2.754598651251003,-0.3768215226892566,NA,NA,NA
hu6800,variance_comparison,carcinomas,PR/PRAD,0.49,-5.87,0.194,0.476,144.21463725238414,-0.0031917267527714066,-0.010537778657464525,0.030326864398700026,NA,NA,NA
hu6800,variance_comparison,carcinomas,UT/EAC,0.020000000000000018,26.26,0.736,0.015,-255.67830613808724,-0.20033056545544048,2.0107614454785545,0.6334090587499279,NA,NA,NA
hu6800,variance_comparison,leukemias,PB/B-ALL,-0.17000000000000015,54.38,1.003,-0.171,-59.8376397560246,-0.14054299615541854,2.233384566927765,0.6940072003593438,NA,NA,NA
hu6800,variance_comparison,leukemias,PB/T-ALL,-0.16000000000000014,19.82,0.849,-0.154,-43.14835737883959,-0.06756103760954107,1.4781602509380551,0.5753516812276123,NA,NA,NA
hu6800,variance_global,blastomas,Brain/GBM,0.08999999999999986,-41.28,0.321,0.08,-132.0893486029579,-0.004806319909931744,1.3026471222669587,0.2720393523813449,NA,NA,NA
hu6800,variance_global,blastomas,Brain/MB,0.24,-35.23,0.322,0.204,-128.88806324756922,-0.020849080161408517,1.3367822197368309,0.2716001507106818,NA,NA,NA
hu6800,variance_global,carcinomas,BLAD/TCC,0.54,-20.46,0.659,0.435,31.390240909977024,-0.09175175694516302,1.8202958336582133,0.42261850869112605,NA,NA,NA
hu6800,variance_global,carcinomas,BR/BRAD,0.6399999999999999,45.39,1.145,0.562,88.92068138449872,-0.08268018818598655,1.3417632716454984,0.6433832066917133,NA,NA,NA
hu6800,variance_global,carcinomas,COL/COADREAD,0.020000000000000018,-13.13,0.136,0.015,-108.39640092494392,-0.0940381815298133,1.1747218181034373,0.22369446764693746,NA,NA,NA
hu6800,variance_global,carcinomas,KID/RCC,0.1299999999999999,-58.04,-0.415,0.119,-260.1766160467148,-0.05288652074861333,0.43594184732930596,-0.07131163119730322,NA,NA,NA
hu6800,variance_global,carcinomas,LU/LUAD,0.71,11.72,1.142,0.643,393.2861531855532,-0.021953146216297237,0.8722465414575353,0.5487769344418161,NA,NA,NA
hu6800,variance_global,carcinomas,OV/OVAD,0.47,62.71,1.326,0.444,NA,NA,NA,NA,NA,NA,NA
hu6800,variance_global,carcinomas,PA/PAAD,0.09000000000000008,-28.13,-0.005,0.08,381.74528654332767,0.2459014272514511,-2.754598651251003,-0.3768215226892566,NA,NA,NA
hu6800,variance_global,carcinomas,PR/PRAD,0.49,-5.87,0.194,0.476,144.21463725238414,-0.0031917267527714066,-0.010537778657464525,0.030326864398700026,NA,NA,NA
hu6800,variance_global,carcinomas,UT/EAC,0.020000000000000018,26.26,0.736,0.015,-255.67830613808724,-0.20033056545544048,2.0107614454785545,0.6334090587499279,NA,NA,NA
hu6800,variance_global,leukemias,PB/B-ALL,-0.17000000000000015,54.38,1.003,-0.171,-59.8376397560246,-0.14054299615541854,2.233384566927765,0.6940072003593438,NA,NA,NA
hu6800,variance_global,leukemias,PB/T-ALL,-0.16000000000000014,19.82,0.849,-0.154,-43.14835737883959,-0.06756103760954107,1.4781602509380551,0.5753516812276123,NA,NA,NA
