chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,variance_global,leukemias,PB/T-ALL,mp,largest_eigenvalue_fraction_delta,-0.2636108278343209,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,leukemias,PB/T-ALL,mp,participation_ratio_delta,3.2921406727617084,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,leukemias,PB/T-ALL,mp,spectral_entropy_delta,0.8757729492541968,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,lymphomas,GC/FL,complexity,effrank_delta,0.47,tumor_greater,permutation_available,0.99,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,lymphomas,GC/FL,complexity,kappa_delta,12,tumor_greater,permutation_available,0.99,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,lymphomas,GC/FL,entropy,shannon_delta,0.88,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,lymphomas,GC/FL,entropy,spectral_delta,0.428,tumor_greater,permutation_available,0.03,0.15,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,lymphomas,GC/FL,mp,excess_spectral_mass_delta,-399.3381397393763,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,lymphomas,GC/FL,mp,largest_eigenvalue_fraction_delta,-0.2824106824312599,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,lymphomas,GC/FL,mp,participation_ratio_delta,3.6591370121368767,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,lymphomas,GC/FL,mp,spectral_entropy_delta,0.8406973709045404,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,lymphomas,GC/LBCL,complexity,effrank_delta,0.18999999999999995,tumor_greater,permutation_available,0.99,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,lymphomas,GC/LBCL,complexity,kappa_delta,10.7,tumor_greater,permutation_available,0.99,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,lymphomas,GC/LBCL,entropy,shannon_delta,0.878,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,lymphomas,GC/LBCL,entropy,spectral_delta,0.187,tumor_greater,permutation_available,0.38,0.475,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,lymphomas,GC/LBCL,mp,excess_spectral_mass_delta,-596.033399116825,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
