chip,gene_set_mode,gene_set_id,gene_set_normalized,gene_set_name,go_ontology,root_node,n_probes
hu35ksuba,GO_MF,GO:0008198,GO:0008198,ferrous iron binding,MF,molecular_function,18
hu35ksuba,GO_MF,GO:0008199,GO:0008199,ferric iron binding,MF,molecular_function,5
hu35ksuba,GO_MF,GO:0008200,GO:0008200,ion channel inhibitor activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008201,GO:0008201,heparin binding,MF,molecular_function,57
hu35ksuba,GO_BP,GO:0008202,GO:0008202,steroid metabolic process,BP,biological_process,51
hu35ksuba,GO_BP,GO:0008203,GO:0008203,cholesterol metabolic process,BP,biological_process,43
hu35ksuba,GO_BP,GO:0008206,GO:0008206,bile acid metabolic process,BP,biological_process,4
hu35ksuba,GO_BP,GO:0008207,GO:0008207,C21-steroid hormone metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0008209,GO:0008209,androgen metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0008210,GO:0008210,estrogen metabolic process,BP,biological_process,9
hu35ksuba,GO_BP,GO:0008215,GO:0008215,spermine metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0008217,GO:0008217,regulation of blood pressure,BP,biological_process,26
hu35ksuba,GO_BP,GO:0008219,GO:0008219,cell death,BP,biological_process,6
hu35ksuba,GO_MF,GO:0008233,GO:0008233,peptidase activity,MF,molecular_function,217
hu35ksuba,GO_MF,GO:0008234,GO:0008234,cysteine-type peptidase activity,MF,molecular_function,65
hu35ksuba,GO_MF,GO:0008235,GO:0008235,metalloexopeptidase activity,MF,molecular_function,11
hu35ksuba,GO_MF,GO:0008236,GO:0008236,serine-type peptidase activity,MF,molecular_function,42
hu35ksuba,GO_MF,GO:0008237,GO:0008237,metallopeptidase activity,MF,molecular_function,77
hu35ksuba,GO_MF,GO:0008238,GO:0008238,exopeptidase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008239,GO:0008239,dipeptidyl-peptidase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008240,GO:0008240,tripeptidyl-peptidase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008241,GO:0008241,peptidyl-dipeptidase activity,MF,molecular_function,2
hu35ksuba,GO_MF,GO:0008252,GO:0008252,nucleotidase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008253,GO:0008253,5'-nucleotidase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008254,GO:0008254,3'-nucleotidase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008263,GO:0008263,pyrimidine-specific mismatch base pair DNA N-glycosylase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008266,GO:0008266,poly(U) RNA binding,MF,molecular_function,15
hu35ksuba,GO_MF,GO:0008269,GO:0008269,JAK pathway signal transduction adaptor activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008270,GO:0008270,zinc ion binding,MF,molecular_function,992
hu35ksuba,GO_MF,GO:0008271,GO:0008271,secondary active sulfate transmembrane transporter activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008273,GO:0008273,"calcium, potassium:sodium antiporter activity",MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008276,GO:0008276,protein methyltransferase activity,MF,molecular_function,10
hu35ksuba,GO_BP,GO:0008277,GO:0008277,regulation of G protein-coupled receptor signaling pathway,BP,biological_process,26
hu35ksuba,GO_BP,GO:0008283,GO:0008283,cell population proliferation,BP,biological_process,48
hu35ksuba,GO_BP,GO:0008284,GO:0008284,positive regulation of cell population proliferation,BP,biological_process,184
hu35ksuba,GO_BP,GO:0008285,GO:0008285,negative regulation of cell population proliferation,BP,biological_process,164
hu35ksuba,GO_BP,GO:0008286,GO:0008286,insulin receptor signaling pathway,BP,biological_process,37
hu35ksuba,GO_MF,GO:0008289,GO:0008289,lipid binding,MF,molecular_function,164
hu35ksuba,GO_BP,GO:0008295,GO:0008295,spermidine biosynthetic process,BP,biological_process,2
hu35ksuba,GO_MF,GO:0008296,GO:0008296,3'-5'-exodeoxyribonuclease activity,MF,molecular_function,4
hu35ksuba,GO_BP,GO:0008298,GO:0008298,intracellular mRNA localization,BP,biological_process,10
hu35ksuba,GO_BP,GO:0008299,GO:0008299,isoprenoid biosynthetic process,BP,biological_process,4
hu35ksuba,GO_MF,GO:0008301,GO:0008301,"DNA binding, bending",MF,molecular_function,10
hu35ksuba,GO_BP,GO:0008306,GO:0008306,associative learning,BP,biological_process,6
hu35ksuba,GO_MF,GO:0008307,GO:0008307,structural constituent of muscle,MF,molecular_function,12
hu35ksuba,GO_MF,GO:0008308,GO:0008308,voltage-gated anion channel activity,MF,molecular_function,6
hu35ksuba,GO_MF,GO:0008309,GO:0008309,double-stranded DNA exodeoxyribonuclease activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008310,GO:0008310,single-stranded DNA 3'-5' exodeoxyribonuclease activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008311,GO:0008311,double-stranded DNA 3'-5' exodeoxyribonuclease activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008312,GO:0008312,7S RNA binding,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008318,GO:0008318,protein prenyltransferase activity,MF,molecular_function,4
hu35ksuba,GO_MF,GO:0008320,GO:0008320,protein transmembrane transporter activity,MF,molecular_function,15
hu35ksuba,GO_MF,GO:0008324,GO:0008324,cation transmembrane transporter activity,MF,molecular_function,11
hu35ksuba,GO_MF,GO:0008327,GO:0008327,methyl-CpG binding,MF,molecular_function,15
