ontology,go_id,go_name,root_node,n_chips,total_probe_memberships
BP,GO:0002841,negative regulation of T cell mediated immune response to tumor cell,biological_process,1,5
BP,GO:0002842,positive regulation of T cell mediated immune response to tumor cell,biological_process,1,8
BP,GO:0002862,negative regulation of inflammatory response to antigenic stimulus,biological_process,2,34
BP,GO:0002903,negative regulation of B cell apoptotic process,biological_process,1,5
BP,GO:0002931,response to ischemia,biological_process,2,47
BP,GO:0002933,lipid hydroxylation,biological_process,1,9
BP,GO:0002934,desmosome organization,biological_process,1,5
BP,GO:0003002,regionalization,biological_process,1,5
BP,GO:0003006,developmental process involved in reproduction,biological_process,1,6
BP,GO:0003007,heart morphogenesis,biological_process,2,25
BP,GO:0003008,system process,biological_process,1,8
BP,GO:0003009,skeletal muscle contraction,biological_process,2,29
BP,GO:0003015,heart process,biological_process,1,7
BP,GO:0003073,regulation of systemic arterial blood pressure,biological_process,1,6
BP,GO:0003081,regulation of systemic arterial blood pressure by renin-angiotensin,biological_process,1,5
BP,GO:0003084,positive regulation of systemic arterial blood pressure,biological_process,2,16
BP,GO:0003085,negative regulation of systemic arterial blood pressure,biological_process,1,12
BP,GO:0003091,renal water homeostasis,biological_process,2,36
BP,GO:0003094,glomerular filtration,biological_process,2,20
BP,GO:0003100,regulation of systemic arterial blood pressure by endothelin,biological_process,1,5
BP,GO:0003139,secondary heart field specification,biological_process,1,6
BP,GO:0003140,determination of left/right asymmetry in lateral mesoderm,biological_process,1,5
BP,GO:0003148,outflow tract septum morphogenesis,biological_process,2,30
BP,GO:0003149,membranous septum morphogenesis,biological_process,1,6
BP,GO:0003151,outflow tract morphogenesis,biological_process,2,59
BP,GO:0003158,endothelium development,biological_process,1,5
BP,GO:0003161,cardiac conduction system development,biological_process,2,26
BP,GO:0003170,heart valve development,biological_process,2,12
BP,GO:0003176,aortic valve development,biological_process,2,11
BP,GO:0003177,pulmonary valve development,biological_process,1,5
BP,GO:0003179,heart valve morphogenesis,biological_process,1,5
BP,GO:0003180,aortic valve morphogenesis,biological_process,2,48
BP,GO:0003181,atrioventricular valve morphogenesis,biological_process,2,12
BP,GO:0003183,mitral valve morphogenesis,biological_process,2,18
BP,GO:0003184,pulmonary valve morphogenesis,biological_process,2,26
BP,GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,biological_process,1,7
BP,GO:0003203,endocardial cushion morphogenesis,biological_process,2,29
BP,GO:0003208,cardiac ventricle morphogenesis,biological_process,1,6
BP,GO:0003214,cardiac left ventricle morphogenesis,biological_process,1,6
BP,GO:0003215,cardiac right ventricle morphogenesis,biological_process,2,16
BP,GO:0003222,ventricular trabecula myocardium morphogenesis,biological_process,2,19
BP,GO:0003223,ventricular compact myocardium morphogenesis,biological_process,2,11
BP,GO:0003253,cardiac neural crest cell migration involved in outflow tract morphogenesis,biological_process,1,5
BP,GO:0003254,regulation of membrane depolarization,biological_process,2,14
BP,GO:0003272,endocardial cushion formation,biological_process,2,18
BP,GO:0003281,ventricular septum development,biological_process,2,20
BP,GO:0003289,atrial septum primum morphogenesis,biological_process,1,5
BP,GO:0003300,cardiac muscle hypertrophy,biological_process,1,9
BP,GO:0003323,type B pancreatic cell development,biological_process,1,6
BP,GO:0003333,amino acid transmembrane transport,biological_process,2,17
BP,GO:0003337,mesenchymal to epithelial transition involved in metanephros morphogenesis,biological_process,1,5
BP,GO:0003340,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,biological_process,1,6
BP,GO:0003341,cilium movement,biological_process,1,13
BP,GO:0003357,noradrenergic neuron differentiation,biological_process,2,12
BP,GO:0003360,brainstem development,biological_process,1,5
BP,GO:0003376,sphingosine-1-phosphate receptor signaling pathway,biological_process,1,9
BP,GO:0003400,regulation of COPII vesicle coating,biological_process,1,5
BP,GO:0003406,retinal pigment epithelium development,biological_process,1,5
BP,GO:0003407,neural retina development,biological_process,2,24
BP,GO:0005513,detection of calcium ion,biological_process,2,21
BP,GO:0005975,carbohydrate metabolic process,biological_process,2,159
BP,GO:0005977,glycogen metabolic process,biological_process,2,34
BP,GO:0005978,glycogen biosynthetic process,biological_process,1,11
BP,GO:0005979,regulation of glycogen biosynthetic process,biological_process,1,5
BP,GO:0005980,glycogen catabolic process,biological_process,2,15
BP,GO:0006000,fructose metabolic process,biological_process,2,14
BP,GO:0006002,fructose 6-phosphate metabolic process,biological_process,2,17
BP,GO:0006003,"fructose 2,6-bisphosphate metabolic process",biological_process,1,5
BP,GO:0006006,glucose metabolic process,biological_process,2,74
BP,GO:0006012,galactose metabolic process,biological_process,1,7
BP,GO:0006013,mannose metabolic process,biological_process,1,7
BP,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process,biological_process,1,5
BP,GO:0006021,inositol biosynthetic process,biological_process,1,5
BP,GO:0006024,glycosaminoglycan biosynthetic process,biological_process,2,14
BP,GO:0006027,glycosaminoglycan catabolic process,biological_process,2,13
BP,GO:0006032,chitin catabolic process,biological_process,1,5
BP,GO:0006044,N-acetylglucosamine metabolic process,biological_process,1,9
BP,GO:0006048,UDP-N-acetylglucosamine biosynthetic process,biological_process,1,10
BP,GO:0006066,alcohol metabolic process,biological_process,1,16
BP,GO:0006068,ethanol catabolic process,biological_process,1,7
BP,GO:0006071,glycerol metabolic process,biological_process,1,5
BP,GO:0006072,glycerol-3-phosphate metabolic process,biological_process,1,6
BP,GO:0006081,cellular aldehyde metabolic process,biological_process,1,10
BP,GO:0006086,acetyl-CoA biosynthetic process from pyruvate,biological_process,1,6
BP,GO:0006091,generation of precursor metabolites and energy,biological_process,2,48
BP,GO:0006094,gluconeogenesis,biological_process,2,44
BP,GO:0006096,glycolytic process,biological_process,2,55
BP,GO:0006098,pentose-phosphate shunt,biological_process,2,14
BP,GO:0006099,tricarboxylic acid cycle,biological_process,2,38
